timestamp(ms);XKF1[0].PN;XKF1[1].PN;XKF1[0].PE;XKF1[1].PE;POSPN;POSPE2;POSPE
175729.04;-27.73760033;-27.75809097290039;-10.51633358;-10.444429397583008;0.73043441;-5.4414258;0.278054248
175829.04;-27.64673233;-27.66851234436035;-10.57754898;-10.509224891662598;0.82130241;-5.502641201;0.216838848
175929.04;-27.55133247;-27.574934005737305;-10.62677288;-10.560322761535645;0.91670227;-5.551865101;0.167614948
176029.04;-27.45173073;-27.476192474365234;-10.67104149;-10.607967376708984;1.01630401;-5.596133709;0.123346338
176129.04;-27.3465023;-27.372390747070312;-10.70309162;-10.642207145690918;1.12153244;-5.628183842;0.091296208
176229.04;-27.23928261;-27.265716552734375;-10.72745991;-10.670391082763672;1.22875213;-5.652552128;0.066927918
176329.04;-27.13005638;-27.157596588134766;-10.73898888;-10.684929847717285;1.33797836;-5.664081097;0.055398948
176429.04;-27.01973724;-27.04738426208496;-10.74469948;-10.694743156433105;1.4482975;-5.669791698;0.049688348
176529.04;-26.90957832;-26.938392639160156;-10.73849583;-10.692055702209473;1.55845642;-5.663588047;0.055891998
176629.04;-26.79888916;-26.827274322509766;-10.72312641;-10.681418418884277;1.66914558;-5.648218632;0.071261418
176729.04;-26.69047165;-26.718814849853516;-10.69389057;-10.656522750854492;1.77756309;-5.618982792;0.100497258
176829.04;-26.58642387;-26.61372947692871;-10.65424347;-10.621718406677246;1.88161087;-5.57933569;0.140144358
176929.04;-26.48767281;-26.514310836791992;-10.60165215;-10.573716163635254;1.98036193;-5.526744366;0.192735678
177029.04;-26.39434814;-26.419471740722656;-10.54045773;-10.5172700881958;2.0736866;-5.465549946;0.253930098
177129.04;-26.30772018;-26.33187484741211;-10.46872425;-10.450432777404785;2.16031456;-5.393816471;0.325663578
177229.04;-26.22718811;-26.24936866760254;-10.39377213;-10.379870414733887;2.24084663;-5.318864346;0.400615698
177329.04;-26.15453529;-26.17522621154785;-10.30897522;-10.298967361450195;2.31349945;-5.23406744;0.485412608
177429.04;-26.08763695;-26.10586929321289;-10.21660328;-10.20966625213623;2.38039779;-5.141695499;0.577784548
177529.04;-26.03222084;-26.04833984375;-10.11602306;-10.112665176391602;2.4358139;-5.041115284;0.678364768
177629.04;-25.98757362;-26.001174926757812;-10.00955582;-10.009408950805664;2.48046112;-4.934648037;0.784832008
177729.04;-25.95483398;-25.965744018554688;-9.898768425;-9.902745246887207;2.51320076;-4.823860645;0.895619403
177829.04;-25.93090248;-25.938669204711914;-9.784751892;-9.791866302490234;2.53713226;-4.709844112;1.009635936
177929.04;-25.91926765;-25.92375373840332;-9.668323517;-9.67872428894043;2.54876709;-4.593415737;1.126064311
178029.04;-25.91553497;-25.916563034057617;-9.550554276;-9.563307762145996;2.55249977;-4.475646496;1.243833552
178129.04;-25.92329025;-25.920766830444336;-9.433382988;-9.44873332977295;2.54474449;-4.358475208;1.36100484
178229.04;-25.94123459;-25.935523986816406;-9.318721771;-9.335741996765137;2.52680015;-4.243813992;1.475666057
178329.04;-25.97105026;-25.961706161499023;-9.206109047;-9.224954605102539;2.49698448;-4.131201267;1.588278781
178429.04;-26.01095581;-25.998546600341797;-9.097208023;-9.117053031921387;2.45707893;-4.022300243;1.697179805
178529.04;-26.06125641;-26.045194625854492;-8.991914749;-9.013093948364258;2.40677833;-3.917006969;1.802473079
178629.04;-26.12482834;-26.105680465698242;-8.891693115;-8.913225173950195;2.3432064;-3.816785336;1.902694713
178729.04;-26.19894028;-26.175891876220703;-8.797484398;-8.819374084472656;2.26909446;-3.722576618;1.99690343
178829.04;-26.28026581;-26.253925323486328;-8.70880127;-8.730690956115723;2.18776893;-3.63389349;2.085586558
178929.04;-26.3698349;-26.33976173400879;-8.627762794;-8.649405479431152;2.09819984;-3.552855015;2.166625034
179029.04;-26.4654007;-26.432971954345703;-8.551579475;-8.572380065917969;2.00263404;-3.476671696;2.242808353
179129.04;-26.56780624;-26.5322208404541;-8.484718323;-8.504918098449707;1.9002285;-3.409810543;2.309669505
179229.04;-26.67425537;-26.63677978515625;-8.42639637;-8.445130348205566;1.79377937;-3.35148859;2.367991458
179329.04;-26.78429604;-26.74405288696289;-8.378587723;-8.395950317382812;1.6837387;-3.303679943;2.415800105
179429.04;-26.89213562;-26.85068702697754;-8.338249207;-8.3541898727417;1.57589912;-3.263341427;2.456138621
179529.04;-27.00237465;-26.959352493286133;-8.308636665;-8.323234558105469;1.46566009;-3.233728886;2.485751163
179629.04;-27.11805153;-27.074440002441406;-8.287882805;-8.300848007202148;1.34998321;-3.212975025;2.506505023
179729.04;-27.23693275;-27.191076278686523;-8.280090332;-8.291601181030273;1.23110199;-3.205182552;2.514297496
179829.04;-27.35706902;-27.311023712158203;-8.286253929;-8.295397758483887;1.11096572;-3.211346149;2.508133899
179929.04;-27.47513008;-27.427974700927734;-8.30483532;-8.311347007751465;0.99290466;-3.22992754;2.489552508
180029.04;-27.58958054;-27.542272567749023;-8.334555626;-8.3385009765625;0.8784542;-3.259647846;2.459832202
180129.04;-27.6998024;-27.652109146118164;-8.374088287;-8.37533950805664;0.76823234;-3.299180508;2.420299541
180229.04;-27.80739975;-27.76059913635254;-8.419829369;-8.418743133544922;0.66063499;-3.344921589;2.374558459
180329.04;-27.91007996;-27.863021850585938;-8.475139618;-8.471789360046387;0.55795478;-3.400231838;2.31924821
180429.04;-28.00674057;-27.960651397705078;-8.538068771;-8.53310775756836;0.46129417;-3.463160992;2.256319057
180529.04;-28.09642982;-28.050676345825195;-8.609899521;-8.603154182434082;0.37160492;-3.534991741;2.184488307
180629.04;-28.17700386;-28.132965087890625;-8.691227913;-8.68293571472168;0.29103088;-3.616320133;2.103159915
180729.04;-28.2490921;-28.206073760986328;-8.779072762;-8.768869400024414;0.21894264;-3.704164982;2.015315066
180829.04;-28.31380653;-28.27294921875;-8.871554375;-8.86009693145752;0.15422821;-3.796646595;1.922833453
180929.04;-28.36967278;-28.330448150634766;-8.969090462;-8.95610523223877;0.09836196;-3.894182682;1.825297366
181029.04;-28.41926384;-28.382732391357422;-9.072425842;-9.058578491210938;0.0487709;-3.997518063;1.721961986
181129.04;-28.46022987;-28.426000595092773;-9.179656029;-9.164060592651367;0.00780487;-4.104748249;1.614731799
181229.04;-28.49393463;-28.462684631347656;-9.288816452;-9.27249526977539;-0.02589989;-4.213908672;1.505571376
181329.04;-28.51686096;-28.488433837890625;-9.399073601;-9.381718635559082;-0.04882622;-4.324165821;1.395314227
181429.04;-28.53033829;-28.505640029907227;-9.510391235;-9.492748260498047;-0.06230355;-4.435483456;1.283996593
181529.04;-28.53242302;-28.51095199584961;-9.620530128;-9.602275848388672;-0.06438828;-4.545622349;1.1738577
181629.04;-28.52310181;-28.50525665283203;-9.732917786;-9.714923858642578;-0.05506707;-4.658010006;1.061470042
181729.04;-28.50141907;-28.48712730407715;-9.844024658;-9.826723098754883;-0.03338433;-4.769116879;0.95036317
